,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,-0.34,0.4124,0.4952,-0.5677,0.5121,0.4124,0.4952,-0.5677,0.5121
1,-0.33,0.4123,0.4956,-0.568,0.5115,0.4123,0.4956,-0.568,0.5115
2,-0.32,0.4139,0.4941,-0.568,0.5117,0.4139,0.4941,-0.568,0.5117
3,-0.31,0.4141,0.4938,-0.569,0.5106,0.4141,0.4938,-0.569,0.5106
4,-0.3,0.4142,0.4933,-0.5701,0.5098,0.4142,0.4933,-0.5701,0.5098
5,-0.29,0.4135,0.4939,-0.5692,0.5108,0.4135,0.4939,-0.5692,0.5108
6,-0.28,0.4131,0.4942,-0.5688,0.5112,0.4131,0.4942,-0.5688,0.5112
7,-0.27,0.4131,0.4945,-0.5686,0.5113,0.4131,0.4945,-0.5686,0.5113
8,-0.26,0.4122,0.4953,-0.5695,0.5101,0.4122,0.4953,-0.5695,0.5101
9,-0.25,0.4119,0.4956,-0.5702,0.5093,0.4119,0.4956,-0.5702,0.5093
10,-0.24,0.4127,0.4948,-0.5698,0.5098,0.4127,0.4948,-0.5698,0.5098
11,-0.23,0.413,0.4946,-0.5688,0.5109,0.413,0.4946,-0.5688,0.5109
12,-0.22,0.4122,0.4954,-0.5692,0.5103,0.4122,0.4954,-0.5692,0.5103
13,-0.21,0.4115,0.496,-0.57,0.5094,0.4115,0.496,-0.57,0.5094
14,-0.2,0.4112,0.4964,-0.5702,0.5091,0.4112,0.4964,-0.5702,0.5091
15,-0.19,0.4119,0.4957,-0.5698,0.5097,0.4119,0.4957,-0.5698,0.5097
16,-0.18,0.4113,0.4964,-0.5691,0.5103,0.4113,0.4964,-0.5691,0.5103
17,-0.17,0.4109,0.4968,-0.5693,0.51,0.4109,0.4968,-0.5693,0.51
18,-0.16,0.4115,0.4965,-0.5692,0.5099,0.4115,0.4965,-0.5692,0.5099
19,-0.15,0.4117,0.4962,-0.5697,0.5094,0.4117,0.4962,-0.5697,0.5094
20,-0.14,0.4134,0.4945,-0.5695,0.5098,0.4134,0.4945,-0.5695,0.5098
21,-0.13,0.4157,0.4923,-0.5686,0.5112,0.4157,0.4923,-0.5686,0.5112
22,-0.12,0.4156,0.4922,-0.5682,0.5118,0.4156,0.4922,-0.5682,0.5118
23,-0.11,0.4155,0.4922,-0.5679,0.5123,0.4155,0.4922,-0.5679,0.5123
24,-0.1,0.4155,0.4922,-0.5674,0.5127,0.4155,0.4922,-0.5674,0.5127
25,-0.09,0.4156,0.4924,-0.5669,0.5131,0.4156,0.4924,-0.5669,0.5131
26,-0.08,0.4158,0.4925,-0.5662,0.5135,0.4158,0.4925,-0.5662,0.5135
27,-0.07,0.416,0.4926,-0.5656,0.514,0.416,0.4926,-0.5656,0.514
28,-0.06,0.416,0.4928,-0.5652,0.5143,0.416,0.4928,-0.5652,0.5143
29,-0.05,0.4162,0.4928,-0.5647,0.5146,0.4162,0.4928,-0.5647,0.5146
30,-0.04,0.4164,0.4929,-0.5641,0.515,0.4164,0.4929,-0.5641,0.515
31,-0.03,0.4167,0.4931,-0.5636,0.5152,0.4167,0.4931,-0.5636,0.5152
32,-0.02,0.4171,0.4932,-0.5629,0.5155,0.4171,0.4932,-0.5629,0.5155
33,-0.01,0.4173,0.4931,-0.5625,0.5159,0.4173,0.4931,-0.5625,0.5159
34,0.0,0.4174,0.493,-0.5621,0.5163,0.4174,0.493,-0.5621,0.5163
35,0.01,0.4173,0.4925,-0.562,0.5171,0.4173,0.4925,-0.562,0.5171
36,0.02,0.4155,0.4902,-0.5634,0.5191,0.4155,0.4902,-0.5634,0.5191
37,0.03,0.4184,0.4931,-0.5604,0.5172,0.4184,0.4931,-0.5604,0.5172
38,0.04,0.4189,0.4935,-0.5597,0.5173,0.4189,0.4935,-0.5597,0.5173
39,0.05,0.4189,0.4932,-0.5594,0.5178,0.4189,0.4932,-0.5594,0.5178
40,0.06,0.4187,0.4925,-0.5594,0.5186,0.4187,0.4925,-0.5594,0.5186
41,0.07,0.4185,0.4917,-0.5595,0.5194,0.4185,0.4917,-0.5595,0.5194
42,0.08,0.4182,0.4909,-0.5597,0.5203,0.4182,0.4909,-0.5597,0.5203
43,0.09,0.4177,0.4904,-0.56,0.5208,0.4177,0.4904,-0.56,0.5208
44,0.1,0.4175,0.4897,-0.56,0.5216,0.4175,0.4897,-0.56,0.5216
45,0.11,0.4174,0.4887,-0.5599,0.5227,0.4174,0.4887,-0.5599,0.5227
46,0.12,0.4195,0.4906,-0.558,0.5214,0.4195,0.4906,-0.558,0.5214
47,0.13,0.4192,0.4893,-0.5582,0.5226,0.4192,0.4893,-0.5582,0.5226
48,0.14,0.419,0.4878,-0.5584,0.524,0.419,0.4878,-0.5584,0.524
49,0.15,0.4187,0.4869,-0.5586,0.5248,0.4187,0.4869,-0.5586,0.5248
50,0.16,0.4184,0.4862,-0.5588,0.5254,0.4184,0.4862,-0.5588,0.5254
51,0.17,0.4185,0.4855,-0.5585,0.5263,0.4185,0.4855,-0.5585,0.5263
52,0.18,0.418,0.485,-0.5587,0.527,0.418,0.485,-0.5587,0.527
53,0.19,0.4183,0.4854,-0.5582,0.527,0.4183,0.4854,-0.5582,0.527
54,0.2,0.4175,0.4845,-0.5585,0.528,0.4175,0.4845,-0.5585,0.528
55,0.21,0.4161,0.4835,-0.5594,0.5291,0.4161,0.4835,-0.5594,0.5291
56,0.22,0.4153,0.4825,-0.5596,0.5305,0.4153,0.4825,-0.5596,0.5305
57,0.23,0.4142,0.4815,-0.5601,0.5317,0.4142,0.4815,-0.5601,0.5317
