T;Alt;Veloc;Filt_Alt;FVeloc;LDA;LowV;Apogee;N-O;Drogue;Main
0;-10;-200.00;-2.00;-40.00;0;0;0;0;0;0
50;26;720.00;3.60;112.00;0;0;0;0;0;0
100;18;-160.00;6.48;57.60;0;0;0;0;0;0
150;10;-160.00;7.18;14.08;0;0;0;0;0;0
200;44;680.00;14.55;147.26;0;0;0;0;0;0
250;56;240.00;22.84;165.81;0;0;0;0;0;0
300;110;1080.00;40.27;348.65;0;0;0;0;0;0
350;30;-1600.00;38.22;-41.08;0;0;0;0;0;0
400;86;1120.00;47.77;191.14;0;0;0;0;0;0
450;50;-720.00;48.22;8.91;0;0;0;0;0;0
500;60;200.00;50.57;47.13;0;0;0;0;0;0
550;104;880.00;61.26;213.70;0;0;0;0;0;0
600;90;-280.00;67.01;114.96;0;0;0;0;0;0
650;110;400.00;75.61;171.97;0;0;0;0;0;0
700;144;680.00;89.28;273.57;0;0;0;0;0;0
750;140;-80.00;99.43;202.86;0;0;0;0;0;0
800;122;-360.00;103.94;90.29;0;0;0;0;0;0
850;264;2840.00;135.95;640.23;0;0;0;0;0;0
900;478;4280.00;204.36;1368.18;478;0;0;0;0;0
950;872;7880.00;337.89;2670.55;0;0;0;0;0;0
1000;976;2080.00;465.51;2552.44;0;0;976;0;0;0
1050;874;-2040.00;547.21;1633.95;0;0;0;0;0;0
1100;628;-4920.00;563.37;323.16;0;0;0;0;0;0
1150;538;-1800.00;558.29;-101.47;0;0;0;0;0;0
1200;652;2280.00;577.04;374.82;0;0;0;0;0;0
1250;874;4440.00;636.43;1187.86;0;0;0;0;0;0
1300;960;1720.00;701.14;1294.29;0;0;0;0;0;0
1350;862;-1960.00;733.31;643.43;0;0;0;0;0;0
1400;662;-4000.00;719.05;-285.26;0;0;0;0;0;0
1450;534;-2560.00;682.04;-740.21;0;0;0;0;0;0
1500;488;-920.00;643.23;-776.16;0;0;0;0;0;0
1550;448;-800.00;604.19;-780.93;0;0;0;0;0;0
1600;486;760.00;580.55;-472.75;0;0;0;0;0;0
1650;484;-40.00;561.24;-386.20;0;0;0;0;0;0
1700;454;-600.00;539.79;-428.96;0;0;0;0;0;0
1750;480;520.00;527.83;-239.17;0;0;0;0;0;0
1800;468;-240.00;515.87;-239.33;0;0;0;0;0;0
1850;518;1000.00;516.29;8.53;0;0;0;0;0;0
1900;486;-640.00;510.23;-121.17;0;0;0;0;0;0
1950;484;-40.00;504.99;-104.94;0;0;0;0;0;0
2000;470;-280.00;497.99;-139.95;0;0;0;0;0;0
2050;496;520.00;497.59;-7.96;0;0;0;0;0;0
2100;496;0.00;497.27;-6.37;0;0;0;0;0;0
2150;488;-160.00;495.42;-37.09;0;0;0;0;0;0
2200;550;1240.00;506.34;218.32;0;0;0;0;0;0
2250;458;-1840.00;496.67;-193.34;0;0;0;0;0;0
2300;590;2640.00;515.33;373.33;0;0;0;0;0;0
2350;494;-1920.00;511.07;-85.34;0;0;0;0;0;0
2400;508;280.00;510.45;-12.27;0;0;0;0;0;0
2450;526;360.00;513.56;62.18;0;0;0;0;0;0
2500;504;-440.00;511.65;-38.25;0;0;0;0;0;0
2550;544;800.00;518.12;129.40;0;0;0;0;0;0
2600;510;-680.00;516.50;-32.48;0;0;0;0;0;0
2650;510;0.00;515.20;-25.99;0;0;0;0;0;0
2700;504;-120.00;512.96;-44.79;0;0;0;0;0;0
2750;520;320.00;514.37;28.17;0;0;0;0;0;0
2800;514;-120.00;514.29;-1.46;0;0;0;0;0;0
2850;518;80.00;515.03;14.83;0;0;0;0;0;0
2900;526;160.00;517.23;43.86;0;0;0;0;0;0
2950;562;720.00;526.18;179.09;0;0;0;0;0;0
3000;560;-40.00;532.95;135.27;0;0;0;0;0;0
3050;518;-840.00;529.96;-59.78;0;0;0;0;0;0
3100;516;-40.00;527.17;-55.83;0;0;0;0;0;0
3150;518;40.00;525.33;-36.66;0;0;0;0;0;0
3200;520;40.00;524.27;-21.33;0;0;0;0;0;0
3250;518;-40.00;523.01;-25.06;0;0;0;0;0;0
3300;552;680.00;528.81;115.95;0;0;0;0;0;0
3350;546;-120.00;532.25;68.76;0;0;0;0;0;0
3400;536;-200.00;533.00;15.01;0;0;0;0;0;0
3450;544;160.00;535.20;44.01;0;0;0;0;0;0
3500;530;-280.00;534.16;-20.79;0;0;0;0;0;0
3550;550;400.00;537.33;63.36;0;0;0;0;0;0
3600;554;80.00;540.66;66.69;0;0;0;0;0;0
3650;518;-720.00;536.13;-90.65;0;0;0;0;0;0
3700;466;-1040.00;522.10;-280.52;0;0;0;0;0;0
3750;512;920.00;520.08;-40.41;0;0;0;0;0;0
3800;530;360.00;522.07;39.67;0;0;0;0;0;0
3850;500;-600.00;517.65;-88.27;0;0;0;0;0;0
3900;514;280.00;516.92;-14.61;0;0;0;0;0;0
3950;536;440.00;520.74;76.31;0;0;0;0;0;0
4000;524;-240.00;521.39;13.05;0;0;0;0;0;0
4050;536;240.00;524.31;58.44;0;0;0;0;0;0
4100;560;480.00;531.45;142.75;0;0;0;0;0;0
4150;532;-560.00;531.56;2.20;0;0;0;0;0;0
4200;502;-600.00;525.65;-118.24;0;0;0;0;0;0
4250;538;720.00;528.12;49.41;0;0;0;0;0;0
4300;566;560.00;535.69;151.53;0;0;0;0;0;0
4350;516;-1000.00;531.76;-78.78;0;0;0;0;0;0
4400;510;-120.00;527.40;-87.02;0;0;0;0;0;0
4450;506;-80.00;523.12;-85.62;0;0;0;0;0;0
4500;540;680.00;526.50;67.50;0;0;0;0;0;0
4550;548;160.00;530.80;86.00;0;0;0;0;0;0
4600;552;80.00;535.04;84.80;0;0;0;0;0;0
4650;574;440.00;542.83;155.84;0;0;0;0;0;0
4700;474;-2000.00;529.07;-275.33;0;0;0;0;0;0
4750;500;520.00;523.25;-116.26;0;0;0;0;0;0
4800;538;760.00;526.20;58.99;0;0;0;0;0;0
4850;510;-560.00;522.96;-64.81;0;0;0;0;0;0
4900;488;-440.00;515.97;-139.84;0;0;0;0;0;0
4950;492;80.00;511.18;-95.88;0;0;0;0;0;0
5000;488;-80.00;506.54;-92.70;0;0;0;0;0;0
5050;520;640.00;509.23;53.84;0;0;0;0;0;0
5100;568;960.00;520.99;235.07;0;0;0;0;0;0
5150;480;-1760.00;512.79;-163.94;0;0;0;0;0;0
5200;514;680.00;513.03;4.85;0;0;0;0;0;0
5250;476;-760.00;505.62;-148.12;0;0;0;0;0;0
5300;468;-160.00;498.10;-150.50;0;0;0;0;0;0
5350;470;40.00;492.48;-112.40;0;0;0;0;0;0
5400;510;800.00;495.98;70.08;0;0;0;0;0;0
5450;510;0.00;498.79;56.06;0;0;0;0;0;0
5500;478;-640.00;494.63;-83.15;0;0;0;0;0;0
5550;474;-80.00;490.50;-82.52;0;0;0;0;0;0
5600;460;-280.00;484.40;-122.01;0;0;0;0;0;0
5650;508;960.00;489.12;94.39;0;0;0;0;0;0
5700;466;-840.00;484.50;-92.49;0;0;0;0;0;0
5750;442;-480.00;476.00;-169.99;0;0;0;0;0;0
5800;486;880.00;478.00;40.01;0;0;0;0;0;0
5850;494;160.00;481.20;64.01;0;0;0;0;0;0
5900;440;-1080.00;472.96;-164.80;0;0;0;0;0;0
5950;452;240.00;468.77;-83.84;0;0;0;0;0;0
6000;480;560.00;471.01;44.93;0;0;0;0;0;0
6050;470;-200.00;470.81;-4.06;0;0;0;0;0;0
6100;528;1160.00;482.25;228.76;0;0;0;0;0;0
6150;466;-1240.00;479.00;-65.00;0;0;0;0;0;0
6200;484;360.00;480.00;20.00;0;0;0;0;0;0
6250;406;-1560.00;465.20;-296.00;0;0;0;0;0;0
6300;416;200.00;455.36;-196.80;0;0;0;0;0;0
6350;406;-200.00;445.49;-197.44;0;0;0;0;0;0
6400;404;-40.00;437.19;-165.95;0;0;0;0;0;0
6450;392;-240.00;428.15;-180.76;0;0;0;0;0;0
6500;390;-40.00;420.52;-152.61;0;0;0;0;0;0
6550;398;160.00;416.02;-90.09;0;0;0;0;0;0
6600;370;-560.00;406.81;-184.07;0;0;0;0;0;0
6650;356;-280.00;396.65;-203.26;0;0;0;0;0;0
6700;400;880.00;397.32;13.40;0;0;0;0;0;0
6750;360;-800.00;389.86;-149.28;0;0;0;0;0;0
6800;370;200.00;385.89;-79.43;0;0;0;0;0;0
6850;340;-600.00;376.71;-183.54;0;0;0;0;0;0
6900;352;240.00;371.77;-98.83;0;0;0;0;0;0
6950;356;80.00;368.61;-63.07;0;0;0;0;0;0
7000;338;-360.00;362.49;-122.45;0;0;0;0;0;0
7050;336;-40.00;357.19;-105.96;0;0;0;0;0;0
7100;364;560.00;358.55;27.23;0;0;0;0;0;0
7150;372;160.00;361.24;53.78;0;0;0;0;0;0
7200;340;-640.00;356.99;-84.97;0;0;0;0;0;0
7250;350;200.00;355.60;-27.98;0;0;0;0;0;0
7300;310;-800.00;346.48;-182.38;0;0;0;0;0;0
7350;348;760.00;346.78;6.09;0;0;0;0;0;0
7400;326;-440.00;342.62;-83.12;0;0;0;0;0;0
7450;328;40.00;339.70;-58.50;0;0;0;0;0;0
7500;290;-760.00;329.76;-198.80;0;0;0;0;0;0
7550;312;440.00;326.21;-71.04;0;0;0;0;0;0
7600;338;520.00;328.57;47.17;0;0;0;0;0;0
7650;340;40.00;330.85;45.73;0;0;0;0;0;0
7700;308;-640.00;326.28;-91.41;0;0;0;0;0;0
7750;316;160.00;324.23;-41.13;0;0;0;0;0;0
7800;284;-640.00;316.18;-160.90;0;0;0;0;0;0
7850;350;1320.00;322.94;135.28;0;0;0;0;0;0
7900;312;-760.00;320.76;-43.78;0;0;0;0;0;0
7950;306;-120.00;317.80;-59.02;0;0;0;0;0;0
8000;354;960.00;325.04;144.78;0;0;0;0;0;0
8050;348;-120.00;329.63;91.83;0;0;0;0;0;0
8100;268;-1600.00;317.31;-246.54;0;0;0;0;0;0
8150;312;880.00;316.25;-21.23;0;0;0;0;0;0
8200;276;-720.00;308.20;-160.99;0;0;0;0;0;0
8250;288;240.00;304.16;-80.79;0;0;0;0;0;0
8300;306;360.00;304.53;7.37;0;0;0;0;0;0
8350;274;-640.00;298.42;-122.10;0;0;0;0;0;0
8400;286;240.00;295.94;-49.68;0;0;0;0;0;0
8450;282;-80.00;293.15;-55.75;0;0;0;0;0;0
8500;250;-640.00;284.52;-172.60;0;0;0;0;0;0
8550;302;1040.00;288.02;69.92;0;0;0;0;0;0
8600;248;-1080.00;280.01;-160.06;0;0;0;0;0;0
8650;302;1080.00;284.41;87.95;0;0;0;0;0;0
8700;266;-720.00;280.73;-73.64;0;0;0;0;0;0
8750;238;-560.00;272.18;-170.91;0;0;0;0;0;0
8800;252;280.00;268.15;-80.73;0;0;0;0;0;0
8850;258;120.00;266.12;-40.58;0;0;0;0;0;0
8900;236;-440.00;260.09;-120.47;0;0;0;0;0;0
8950;290;1080.00;266.07;119.63;0;0;0;0;0;0
9000;264;-520.00;265.66;-8.30;0;0;0;0;0;0
9050;290;520.00;270.53;97.36;0;0;0;0;0;0
9100;268;-440.00;270.02;-10.11;0;0;0;0;0;0
9150;300;640.00;276.02;119.91;0;0;0;0;0;0
9200;216;-1680.00;264.01;-240.07;0;0;0;0;0;0
9250;206;-200.00;252.41;-232.06;0;0;0;0;0;0
9300;266;1200.00;255.13;54.35;0;0;0;0;0;0
9350;252;-280.00;254.50;-12.52;0;0;0;0;0;0
9400;232;-400.00;250.00;-90.01;0;0;0;0;0;0
9450;240;160.00;248.00;-40.01;0;0;0;0;0;0
9500;212;-560.00;240.80;-144.01;0;0;0;0;0;0
9550;200;-240.00;232.64;-163.21;0;0;0;0;0;0
9600;278;1560.00;241.71;181.43;0;0;0;0;0;0
9650;204;-1480.00;234.17;-150.85;0;0;0;0;0;0
9700;208;80.00;228.94;-104.68;0;0;0;0;0;0
9750;218;200.00;226.75;-43.75;0;0;0;0;0;0
9800;196;-440.00;220.60;-123.00;0;0;0;0;0;0
9850;174;-440.00;211.28;-186.40;0;0;0;0;0;0
9900;198;480.00;208.62;-53.12;0;0;0;0;0;0
9950;196;-40.00;206.10;-50.49;0;0;0;0;0;0
10000;214;360.00;207.68;31.60;0;0;0;0;0;0
10050;196;-360.00;205.34;-46.72;0;0;0;0;0;0
10100;264;1360.00;217.07;234.63;0;0;0;0;0;0
10150;206;-1160.00;214.86;-44.30;0;0;0;0;0;0
10200;182;-480.00;208.29;-131.44;0;0;0;0;0;0
10250;180;-40.00;202.63;-113.15;0;0;0;0;0;0
10300;198;360.00;201.70;-18.52;0;0;0;0;0;0
10350;194;-80.00;200.16;-30.82;0;0;0;0;0;0
10400;200;120.00;200.13;-0.65;0;0;0;0;0;0
10450;232;640.00;206.50;127.48;0;0;0;0;0;0
10500;180;-1040.00;201.20;-106.02;0;0;0;0;0;0
10550;230;1000.00;206.96;115.19;0;0;0;0;0;0
10600;168;-1240.00;199.17;-155.85;0;0;0;0;0;0
10650;164;-80.00;192.14;-140.68;0;0;0;0;0;0
10700;154;-200.00;184.51;-152.55;0;0;0;0;0;0
10750;196;840.00;186.81;45.96;0;0;0;0;0;0
10800;214;360.00;192.25;108.77;0;0;0;0;0;0
10850;140;-1480.00;181.80;-208.98;0;0;0;0;0;0
10900;176;720.00;180.64;-23.19;0;0;0;0;0;0
10950;208;640.00;186.11;109.45;0;0;0;0;0;0
11000;196;-240.00;188.09;39.56;0;0;0;0;0;0
11050;216;400.00;193.67;111.65;0;0;0;0;0;0
11100;190;-520.00;192.94;-14.68;0;0;0;0;0;0
11150;238;960.00;201.95;180.26;0;0;0;0;0;0
11200;150;-1760.00;191.56;-207.80;0;0;0;0;0;0
11250;146;-80.00;182.45;-182.24;0;0;0;0;0;0
11300;134;-240.00;172.76;-193.79;0;0;0;0;0;0
11350;172;760.00;172.61;-3.03;0;0;0;0;0;0
11400;106;-1320.00;159.29;-266.43;0;0;0;0;0;0
11450;136;600.00;154.63;-93.14;0;0;0;0;0;0
11500;126;-200.00;148.90;-114.51;0;0;0;0;0;0
11550;124;-40.00;143.92;-99.61;0;0;0;0;0;0
11600;126;40.00;140.34;-71.69;0;0;0;0;0;0
11650;108;-360.00;133.87;-129.35;0;0;0;0;0;0
11700;100;-160.00;127.10;-135.48;0;0;0;0;0;0
11750;164;1280.00;134.48;147.62;0;0;0;0;0;0
11800;130;-680.00;133.58;-17.91;0;0;0;0;0;0
11850;158;560.00;138.47;97.67;0;0;0;0;0;0
11900;132;-520.00;137.17;-25.86;0;0;0;0;0;0
11950;132;0.00;136.14;-20.69;0;0;0;0;0;0
12000;138;120.00;136.51;7.45;0;0;0;0;0;0
12050;104;-680.00;130.01;-130.04;0;0;0;0;0;0
12100;66;-760.00;117.21;-256.03;0;0;0;0;0;0
12150;152;1720.00;124.17;139.17;0;0;0;0;0;0
12200;80;-1440.00;115.33;-176.66;0;0;0;0;0;0
12250;170;1800.00;126.27;218.67;0;0;0;0;0;0
12300;98;-1440.00;120.61;-113.06;0;0;0;0;0;0
12350;144;920.00;125.29;93.55;0;0;0;0;0;0
12400;124;-400.00;125.03;-5.16;0;0;0;0;0;0
12450;100;-480.00;120.03;-100.13;0;0;0;0;0;0
12500;52;-960.00;106.42;-272.10;0;0;0;0;0;0
12550;84;640.00;101.94;-89.68;0;0;0;0;0;0
12600;64;-400.00;94.35;-151.75;0;0;0;0;0;0
12650;118;1080.00;99.08;94.60;0;0;0;0;0;0
12700;56;-1240.00;90.46;-172.32;0;0;0;0;0;0
12750;90;680.00;90.37;-1.85;0;0;0;0;0;0
12800;124;680.00;97.10;134.52;0;0;0;0;0;0
12850;68;-1120.00;91.28;-116.39;0;0;0;0;0;0
12900;114;920.00;95.82;90.89;0;0;0;0;0;0
12950;142;560.00;105.06;184.71;0;0;0;0;0;0
13000;26;-2320.00;89.25;-316.23;0;0;0;0;0;0
13050;50;480.00;81.40;-156.98;0;0;0;0;0;0
13100;98;960.00;84.72;66.41;0;0;0;0;0;0
13150;48;-1000.00;77.37;-146.87;0;0;0;0;0;0
13200;130;1640.00;87.90;210.50;0;0;0;0;0;0
13250;50;-1600.00;80.32;-151.60;0;0;0;0;0;0
13300;68;360.00;77.86;-49.28;0;0;0;0;0;0
13350;32;-720.00;68.68;-183.42;0;0;0;0;0;0
13400;58;520.00;66.55;-42.74;0;0;0;0;0;0
13450;26;-640.00;58.44;-162.19;0;0;0;0;0;0
13500;44;360.00;55.55;-57.75;0;0;0;0;0;0
13550;82;760.00;60.84;105.80;0;0;0;0;0;0
13600;90;160.00;66.67;116.64;0;0;0;0;0;0
13650;78;-240.00;68.94;45.31;0;0;0;0;0;0
13700;50;-560.00;65.15;-75.75;0;0;0;0;0;0
13750;32;-360.00;58.52;-132.60;0;0;0;0;0;0
13800;32;0.00;53.22;-106.08;0;0;0;0;0;0
13850;58;520.00;54.17;19.14;0;0;0;0;0;0
13900;42;-320.00;51.74;-48.69;0;0;0;0;0;0
13950;-2;-880.00;40.99;-214.95;0;0;0;0;0;0
14000;38;800.00;40.39;-11.96;0;0;0;0;0;0
14050;74;720.00;47.11;134.43;0;0;0;0;0;0
14100;38;-720.00;45.29;-36.46;0;0;0;0;0;0
14150;48;200.00;45.83;10.84;0;0;0;0;0;0
14200;42;-120.00;45.07;-15.33;0;0;0;0;0;0
14250;54;240.00;46.85;35.73;0;0;0;0;0;0
14300;30;-480.00;43.48;-67.41;0;0;0;0;0;0
14350;16;-280.00;37.99;-109.93;0;0;0;0;0;0
14400;34;360.00;37.19;-15.94;0;0;0;0;0;0
14450;20;-280.00;33.75;-68.76;0;0;0;0;0;0
14500;-26;-920.00;21.80;-239.00;0;0;0;0;0;0
14550;-4;440.00;16.64;-103.20;0;0;0;0;0;0
14600;26;600.00;18.51;37.44;0;0;0;0;0;0
14650;-22;-960.00;10.41;-162.05;0;0;0;0;0;0
14700;18;800.00;11.93;30.36;0;0;0;0;0;0
14750;54;720.00;20.34;168.29;0;0;0;0;0;0
14800;72;360.00;30.67;206.63;0;0;0;0;0;0
14850;40;-640.00;32.54;37.30;0;0;0;0;0;0
14900;24;-320.00;30.83;-34.16;0;0;0;0;0;0
14950;12;-240.00;27.07;-75.33;0;0;0;0;0;0
15000;10;-40.00;23.65;-68.26;0;0;0;0;0;0
15050;84;1480.00;35.72;241.39;0;0;0;0;0;0
15100;20;-1280.00;32.58;-62.89;0;0;0;0;0;0
15150;20;0.00;30.06;-50.31;0;0;0;0;0;0
15200;16;-80.00;27.25;-56.25;0;0;0;0;0;0
