,ts,id,T,P
0,-0.332,BARO0,39.02,100029
1,-0.332,BARO1,39.89,99927
2,-0.332,BARO2,39.46,99981
3,-0.322,BARO0,39.02,100009
4,-0.322,BARO1,39.88,99903
5,-0.322,BARO2,39.46,99981
6,-0.312,BARO0,39.0,100025
7,-0.312,BARO1,39.89,99887
8,-0.312,BARO2,39.47,99985
9,-0.302,BARO0,39.03,100032
10,-0.302,BARO1,39.89,99927
11,-0.302,BARO2,39.47,100005
12,-0.292,BARO0,39.02,100009
13,-0.292,BARO1,39.89,99887
14,-0.292,BARO2,39.44,99977
15,-0.282,BARO0,39.02,100009
16,-0.282,BARO1,39.89,99927
17,-0.282,BARO2,39.46,100001
18,-0.272,BARO0,39.02,100029
19,-0.272,BARO1,39.91,99910
20,-0.272,BARO2,39.46,99981
21,-0.262,BARO0,39.0,100025
22,-0.262,BARO1,39.91,99910
23,-0.262,BARO2,39.46,99981
24,-0.252,BARO0,39.03,99992
25,-0.252,BARO1,39.88,99923
26,-0.252,BARO2,39.47,99964
27,-0.242,BARO0,39.02,100009
28,-0.242,BARO1,39.88,99923
29,-0.242,BARO2,39.47,99985
30,-0.232,BARO0,39.02,100029
31,-0.232,BARO1,39.89,99887
32,-0.232,BARO2,39.46,100001
33,-0.222,BARO0,39.02,100029
34,-0.222,BARO1,39.88,99883
35,-0.222,BARO2,39.46,99981
36,-0.212,BARO0,39.03,100032
37,-0.212,BARO1,39.89,99887
38,-0.212,BARO2,39.46,99981
39,-0.202,BARO0,39.02,100009
40,-0.202,BARO1,39.89,99907
41,-0.202,BARO2,39.46,99981
42,-0.192,BARO0,39.03,100032
43,-0.192,BARO1,39.89,99907
44,-0.192,BARO2,39.47,99985
45,-0.182,BARO0,39.02,100029
46,-0.182,BARO1,39.89,99907
47,-0.182,BARO2,39.47,99985
48,-0.172,BARO0,39.02,100029
49,-0.172,BARO1,39.89,99907
50,-0.172,BARO2,39.46,99981
51,-0.162,BARO0,39.02,100009
52,-0.162,BARO1,39.89,99907
53,-0.162,BARO2,39.47,99964
54,-0.152,BARO0,39.02,100009
55,-0.152,BARO1,39.89,99907
56,-0.152,BARO2,39.46,99981
57,-0.142,BARO0,39.0,100025
58,-0.142,BARO1,39.89,99927
59,-0.142,BARO2,39.46,99981
60,-0.132,BARO0,39.03,100032
61,-0.132,BARO1,39.88,99903
62,-0.132,BARO2,39.47,100005
63,-0.122,BARO0,39.02,100009
64,-0.122,BARO1,39.88,99903
65,-0.122,BARO2,39.46,100001
66,-0.112,BARO0,39.0,100025
67,-0.112,BARO1,39.91,99910
68,-0.112,BARO2,39.47,99985
69,-0.102,BARO0,39.0,100005
70,-0.102,BARO1,39.91,99890
71,-0.102,BARO2,39.46,99961
72,-0.092,BARO0,39.02,100009
73,-0.092,BARO1,39.89,99887
74,-0.092,BARO2,39.47,99985
75,-0.082,BARO0,39.02,100009
76,-0.082,BARO1,39.89,99887
77,-0.082,BARO2,39.46,99981
78,-0.072,BARO0,39.02,100009
79,-0.072,BARO1,39.89,99887
80,-0.072,BARO2,39.46,99961
81,-0.062,BARO0,39.03,100032
82,-0.062,BARO1,39.88,99843
83,-0.062,BARO2,39.46,99940
84,-0.052,BARO0,39.02,100009
85,-0.052,BARO1,39.89,99867
86,-0.052,BARO2,39.44,99957
87,-0.042,BARO0,39.02,100009
88,-0.042,BARO1,39.89,99887
89,-0.042,BARO2,39.47,100005
90,-0.032,BARO0,39.02,100029
91,-0.032,BARO1,39.88,99883
92,-0.032,BARO2,39.47,100005
93,-0.022,BARO0,39.0,100005
94,-0.022,BARO1,39.91,99910
95,-0.022,BARO2,39.46,99961
96,-0.012,BARO0,39.03,100012
97,-0.012,BARO1,39.89,99887
98,-0.012,BARO2,39.46,99940
99,-0.002,BARO0,39.02,100009
100,-0.002,BARO1,39.91,99851
101,-0.002,BARO2,39.47,99944
102,0.008,BARO0,39.02,99968
103,0.008,BARO1,39.91,99890
104,0.008,BARO2,39.47,99944
105,0.018,BARO0,39.02,99988
106,0.018,BARO1,39.89,99867
107,0.018,BARO2,39.46,99940
108,0.028,BARO0,39.02,99968
109,0.028,BARO1,39.88,99863
110,0.028,BARO2,39.44,99936
111,0.038,BARO0,39.02,99988
112,0.038,BARO1,39.88,99863
113,0.038,BARO2,39.46,99940
114,0.048,BARO0,39.03,99992
115,0.048,BARO1,39.89,99907
116,0.048,BARO2,39.49,99968
117,0.058,BARO0,39.03,99992
118,0.058,BARO1,39.89,99907
119,0.058,BARO2,39.49,99968
120,0.068,BARO0,39.0,99985
121,0.068,BARO1,39.89,99887
122,0.068,BARO2,39.46,99940
123,0.078,BARO0,39.02,100009
124,0.078,BARO1,39.88,99883
125,0.078,BARO2,39.47,99944
126,0.088,BARO0,39.02,100009
127,0.088,BARO1,39.88,99863
128,0.088,BARO2,39.46,99920
129,0.098,BARO0,39.02,100009
130,0.098,BARO1,39.88,99863
131,0.098,BARO2,39.46,99920
132,0.108,BARO0,39.02,99988
133,0.108,BARO1,39.89,99867
134,0.108,BARO2,39.49,99927
135,0.118,BARO0,39.03,99992
136,0.118,BARO1,39.91,99890
137,0.118,BARO2,39.46,99940
138,0.128,BARO0,39.02,99988
139,0.128,BARO1,39.88,99863
140,0.128,BARO2,39.47,99964
141,0.138,BARO0,39.02,99988
142,0.138,BARO1,39.88,99863
143,0.138,BARO2,39.47,99964
144,0.148,BARO0,39.02,99968
145,0.148,BARO1,39.88,99883
146,0.148,BARO2,39.46,99981
147,0.158,BARO0,39.0,99944
148,0.158,BARO1,39.89,99887
149,0.158,BARO2,39.46,99940
150,0.168,BARO0,39.02,99988
151,0.168,BARO1,39.89,99867
152,0.168,BARO2,39.46,99920
153,0.178,BARO0,39.02,99988
154,0.178,BARO1,39.89,99867
155,0.178,BARO2,39.46,99920
156,0.188,BARO0,39.03,99992
157,0.188,BARO1,39.89,99887
158,0.188,BARO2,39.47,99944
159,0.198,BARO0,39.0,100025
160,0.198,BARO1,39.88,99903
161,0.198,BARO2,39.47,99985
162,0.208,BARO0,39.0,99964
163,0.208,BARO1,39.89,99887
164,0.208,BARO2,39.46,99940
165,0.218,BARO0,39.0,99964
166,0.218,BARO1,39.89,99887
167,0.218,BARO2,39.46,99940
168,0.228,BARO0,39.0,99964
169,0.228,BARO1,39.89,99827
170,0.228,BARO2,39.44,99896
171,0.238,BARO0,39.0,100005
172,0.238,BARO1,39.89,99887
173,0.238,BARO2,39.47,99944
174,0.248,BARO0,39.02,99968
175,0.248,BARO1,39.88,99883
176,0.248,BARO2,39.47,100005
177,0.258,BARO0,39.02,99948
178,0.258,BARO1,39.89,99847
179,0.258,BARO2,39.47,99964
180,0.268,BARO0,39.02,99948
181,0.268,BARO1,39.89,99827
182,0.268,BARO2,39.46,99879
183,0.278,BARO0,39.0,100005
184,0.278,BARO1,39.89,99907
185,0.278,BARO2,39.47,99903
186,0.288,BARO0,39.03,99972
187,0.288,BARO1,39.89,99887
188,0.288,BARO2,39.47,99985
189,0.298,BARO0,39.02,99928
190,0.298,BARO1,39.89,99847
191,0.298,BARO2,39.46,99961
192,0.308,BARO0,39.02,99928
193,0.308,BARO1,39.89,99787
194,0.308,BARO2,39.47,99903
195,0.318,BARO0,39.02,99988
196,0.318,BARO1,39.89,99867
197,0.318,BARO2,39.47,99883
198,0.328,BARO0,39.02,100009
199,0.328,BARO1,39.88,99903
200,0.328,BARO2,39.46,99981
201,0.338,BARO0,39.02,99928
202,0.338,BARO1,39.88,99863
203,0.338,BARO2,39.47,99964
204,0.348,BARO0,39.0,99904
205,0.348,BARO1,39.89,99787
206,0.348,BARO2,39.47,99883
207,0.358,BARO0,39.02,99968
208,0.358,BARO1,39.89,99827
209,0.358,BARO2,39.46,99879
210,0.368,BARO0,39.02,100009
211,0.368,BARO1,39.89,99887
212,0.368,BARO2,39.46,99961
213,0.378,BARO0,39.0,99944
214,0.378,BARO1,39.89,99887
215,0.378,BARO2,39.47,100005
216,0.388,BARO0,39.02,99888
217,0.388,BARO1,39.89,99807
218,0.388,BARO2,39.47,99903
219,0.398,BARO0,39.03,99952
220,0.398,BARO1,39.89,99807
221,0.398,BARO2,39.47,99883
222,0.408,BARO0,39.02,100029
223,0.408,BARO1,39.89,99847
224,0.408,BARO2,39.47,99903
225,0.418,BARO0,39.02,99968
226,0.418,BARO1,39.89,99887
227,0.418,BARO2,39.44,99977
228,0.428,BARO0,39.02,99888
229,0.428,BARO1,39.91,99831
230,0.428,BARO2,39.46,99920
231,0.438,BARO0,39.02,99968
232,0.438,BARO1,39.89,99807
233,0.438,BARO2,39.47,99842
234,0.448,BARO0,39.02,99988
235,0.448,BARO1,39.89,99827
236,0.448,BARO2,39.47,99924
237,0.458,BARO0,39.03,99892
238,0.458,BARO1,39.89,99787
239,0.458,BARO2,39.47,99883
240,0.468,BARO0,39.02,99968
241,0.468,BARO1,39.89,99827
242,0.468,BARO2,39.44,99896
243,0.478,BARO0,39.02,99948
244,0.478,BARO1,39.89,99847
245,0.478,BARO2,39.47,99944
246,0.488,BARO0,39.02,99968
247,0.488,BARO1,39.89,99807
248,0.488,BARO2,39.47,99883
249,0.498,BARO0,39.03,99972
250,0.498,BARO1,39.89,99887
251,0.498,BARO2,39.46,99961
252,0.508,BARO0,39.02,99908
253,0.508,BARO1,39.89,99807
254,0.508,BARO2,39.46,99900
255,0.518,BARO0,39.02,99948
256,0.518,BARO1,39.89,99807
257,0.518,BARO2,39.46,99900
258,0.528,BARO0,39.0,99964
259,0.528,BARO1,39.91,99851
260,0.528,BARO2,39.46,99920
261,0.538,BARO0,39.02,99948
262,0.538,BARO1,39.89,99847
263,0.538,BARO2,39.46,99920
264,0.548,BARO0,39.02,99988
265,0.548,BARO1,39.89,99827
266,0.548,BARO2,39.49,99927
267,0.558,BARO0,39.03,99992
268,0.558,BARO1,39.88,99863
269,0.558,BARO2,39.46,99900
270,0.568,BARO0,39.02,99948
271,0.568,BARO1,39.89,99827
272,0.568,BARO2,39.46,99900
273,0.578,BARO0,39.02,99928
274,0.578,BARO1,39.89,99847
275,0.578,BARO2,39.46,99920
276,0.588,BARO0,39.02,99948
277,0.588,BARO1,39.89,99867
278,0.588,BARO2,39.47,99964
279,0.598,BARO0,39.0,99964
280,0.598,BARO1,39.89,99867
281,0.598,BARO2,39.47,99944
282,0.608,BARO0,39.02,99988
283,0.608,BARO1,39.89,99887
284,0.608,BARO2,39.47,99944
285,0.618,BARO0,39.02,99988
286,0.618,BARO1,39.88,99903
287,0.618,BARO2,39.44,99977
288,0.628,BARO0,39.03,99992
289,0.628,BARO1,39.89,99867
290,0.628,BARO2,39.46,99920
291,0.638,BARO0,39.0,100005
292,0.638,BARO1,39.89,99887
293,0.638,BARO2,39.46,99981
294,0.648,BARO0,39.02,99968
295,0.648,BARO1,39.91,99870
296,0.648,BARO2,39.46,99961
297,0.658,BARO0,39.0,99985
298,0.658,BARO1,39.89,99887
299,0.658,BARO2,39.47,99924
300,0.668,BARO0,39.03,100012
301,0.668,BARO1,39.91,99890
302,0.668,BARO2,39.46,99981
303,0.678,BARO0,39.02,99968
304,0.678,BARO1,39.89,99887
305,0.678,BARO2,39.46,99961
306,0.688,BARO0,39.02,100009
307,0.688,BARO1,39.89,99867
308,0.688,BARO2,39.47,99944
309,0.698,BARO0,39.02,100049
310,0.698,BARO1,39.89,99907
311,0.698,BARO2,39.46,99961
312,0.708,BARO0,39.02,99988
313,0.708,BARO1,39.91,99870
314,0.708,BARO2,39.46,99981
315,0.718,BARO0,39.02,99988
316,0.718,BARO1,39.88,99843
317,0.718,BARO2,39.47,99964
318,0.728,BARO0,39.02,100029
319,0.728,BARO1,39.89,99907
320,0.728,BARO2,39.47,99964
321,0.738,BARO0,39.0,99964
322,0.738,BARO1,39.89,99867
323,0.738,BARO2,39.47,99985
324,0.748,BARO0,39.02,100029
325,0.748,BARO1,39.89,99867
326,0.748,BARO2,39.47,99924
327,0.758,BARO0,39.02,100049
328,0.758,BARO1,39.89,99907
329,0.758,BARO2,39.46,99981
330,0.768,BARO0,39.03,99972
