,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,-0.321,1,0,1,0,0,0
1,-0.311,1,0,1,0,0,0
2,-0.301,1,0,1,0,0,0
3,-0.291,1,0,1,0,0,0
4,-0.281,1,0,1,0,0,0
5,-0.271,1,0,1,0,0,0
6,-0.261,1,0,1,0,0,0
7,-0.251,1,0,1,0,0,0
8,-0.241,1,0,1,0,0,0
9,-0.231,1,0,1,0,0,0
10,-0.221,1,0,1,0,0,0
11,-0.211,1,0,1,0,0,0
12,-0.201,1,0,1,0,0,0
13,-0.191,1,0,1,0,0,0
14,-0.181,1,0,1,0,0,0
15,-0.171,1,0,1,0,0,0
16,-0.161,1,0,1,0,0,0
17,-0.151,1,0,1,0,0,0
18,-0.141,1,0,1,0,0,0
19,-0.131,1,0,1,0,0,0
20,-0.121,1,0,1,0,0,0
21,-0.111,1,0,1,0,0,0
22,-0.101,1,0,1,0,0,0
23,-0.091,1,0,1,0,0,0
24,-0.081,1,0,1,0,0,0
25,-0.071,1,0,1,0,0,0
26,-0.061,1,0,1,0,0,0
27,-0.051,1,0,1,0,0,0
28,-0.041,1,0,1,0,0,0
29,-0.031,1,0,1,0,0,0
30,-0.021,1,0,1,0,0,0
31,-0.011,1,0,1,0,0,0
32,-0.001,1,0,1,0,0,0
33,0.009,1,0,1,0,0,0
34,0.019,1,0,1,0,0,0
35,0.029,1,0,1,0,0,0
36,0.039,1,0,1,0,0,0
37,0.049,1,0,1,0,0,0
38,0.059,1,0,1,0,0,0
39,0.069,1,0,1,0,0,0
40,0.079,1,0,1,0,0,0
41,0.089,1,0,1,0,0,0
42,0.099,1,0,1,0,0,0
43,0.109,1,0,1,0,0,0
44,0.119,1,0,1,0,0,0
45,0.129,1,0,1,0,0,0
46,0.139,1,0,1,0,0,0
47,0.149,1,0,1,0,0,0
48,0.159,1,0,1,0,0,0
49,0.169,1,0,1,0,0,0
50,0.179,1,0,1,0,0,0
51,0.189,1,0,1,0,0,0
52,0.199,1,0,1,0,0,0
