,ts,id,T,P
0,3155190,BARO0,3902,100029
1,3155190,BARO1,3989,99927
2,3155190,BARO2,3946,99981
3,3155200,BARO0,3902,100009
4,3155200,BARO1,3988,99903
5,3155200,BARO2,3946,99981
6,3155210,BARO0,3900,100025
7,3155210,BARO1,3989,99887
8,3155210,BARO2,3947,99985
9,3155220,BARO0,3903,100032
10,3155220,BARO1,3989,99927
11,3155220,BARO2,3947,100005
12,3155230,BARO0,3902,100009
13,3155230,BARO1,3989,99887
14,3155230,BARO2,3944,99977
15,3155240,BARO0,3902,100009
16,3155240,BARO1,3989,99927
17,3155240,BARO2,3946,100001
18,3155250,BARO0,3902,100029
19,3155250,BARO1,3991,99910
20,3155250,BARO2,3946,99981
21,3155260,BARO0,3900,100025
22,3155260,BARO1,3991,99910
23,3155260,BARO2,3946,99981
24,3155270,BARO0,3903,99992
25,3155270,BARO1,3988,99923
26,3155270,BARO2,3947,99964
27,3155280,BARO0,3902,100009
28,3155280,BARO1,3988,99923
29,3155280,BARO2,3947,99985
30,3155290,BARO0,3902,100029
31,3155290,BARO1,3989,99887
32,3155290,BARO2,3946,100001
33,3155300,BARO0,3902,100029
34,3155300,BARO1,3988,99883
35,3155300,BARO2,3946,99981
36,3155310,BARO0,3903,100032
37,3155310,BARO1,3989,99887
38,3155310,BARO2,3946,99981
39,3155320,BARO0,3902,100009
40,3155320,BARO1,3989,99907
41,3155320,BARO2,3946,99981
42,3155330,BARO0,3903,100032
43,3155330,BARO1,3989,99907
44,3155330,BARO2,3947,99985
45,3155340,BARO0,3902,100029
46,3155340,BARO1,3989,99907
47,3155340,BARO2,3947,99985
48,3155350,BARO0,3902,100029
49,3155350,BARO1,3989,99907
50,3155350,BARO2,3946,99981
51,3155360,BARO0,3902,100009
52,3155360,BARO1,3989,99907
53,3155360,BARO2,3947,99964
54,3155370,BARO0,3902,100009
55,3155370,BARO1,3989,99907
56,3155370,BARO2,3946,99981
57,3155380,BARO0,3900,100025
58,3155380,BARO1,3989,99927
59,3155380,BARO2,3946,99981
60,3155390,BARO0,3903,100032
61,3155390,BARO1,3988,99903
62,3155390,BARO2,3947,100005
63,3155400,BARO0,3902,100009
64,3155400,BARO1,3988,99903
65,3155400,BARO2,3946,100001
66,3155410,BARO0,3900,100025
67,3155410,BARO1,3991,99910
68,3155410,BARO2,3947,99985
69,3155420,BARO0,3900,100005
70,3155420,BARO1,3991,99890
71,3155420,BARO2,3946,99961
72,3155430,BARO0,3902,100009
73,3155430,BARO1,3989,99887
74,3155430,BARO2,3947,99985
75,3155440,BARO0,3902,100009
76,3155440,BARO1,3989,99887
77,3155440,BARO2,3946,99981
78,3155450,BARO0,3902,100009
79,3155450,BARO1,3989,99887
80,3155450,BARO2,3946,99961
81,3155460,BARO0,3903,100032
82,3155460,BARO1,3988,99843
83,3155460,BARO2,3946,99940
84,3155470,BARO0,3902,100009
85,3155470,BARO1,3989,99867
86,3155470,BARO2,3944,99957
87,3155480,BARO0,3902,100009
88,3155480,BARO1,3989,99887
89,3155480,BARO2,3947,100005
90,3155490,BARO0,3902,100029
91,3155490,BARO1,3988,99883
92,3155490,BARO2,3947,100005
93,3155500,BARO0,3900,100005
94,3155500,BARO1,3991,99910
