,ts,imu_0,imu_1,imu_2,baro_0,baro_1,baro_2
0,3155201,1,0,1,0,0,0
1,3155211,1,0,1,0,0,0
2,3155221,1,0,1,0,0,0
3,3155231,1,0,1,0,0,0
4,3155241,1,0,1,0,0,0
5,3155251,1,0,1,0,0,0
6,3155261,1,0,1,0,0,0
7,3155271,1,0,1,0,0,0
8,3155281,1,0,1,0,0,0
9,3155291,1,0,1,0,0,0
10,3155301,1,0,1,0,0,0
11,3155311,1,0,1,0,0,0
12,3155321,1,0,1,0,0,0
13,3155331,1,0,1,0,0,0
14,3155341,1,0,1,0,0,0
15,3155351,1,0,1,0,0,0
16,3155361,1,0,1,0,0,0
17,3155371,1,0,1,0,0,0
18,3155381,1,0,1,0,0,0
19,3155391,1,0,1,0,0,0
20,3155401,1,0,1,0,0,0
21,3155411,1,0,1,0,0,0
22,3155421,1,0,1,0,0,0
23,3155431,1,0,1,0,0,0
24,3155441,1,0,1,0,0,0
25,3155451,1,0,1,0,0,0
26,3155461,1,0,1,0,0,0
27,3155471,1,0,1,0,0,0
28,3155481,1,0,1,0,0,0
29,3155491,1,0,1,0,0,0
30,3155501,1,0,1,0,0,0
31,3155511,1,0,1,0,0,0
32,3155521,1,0,1,0,0,0
33,3155531,1,0,1,0,0,0
34,3155541,1,0,1,0,0,0
35,3155551,1,0,1,0,0,0
36,3155561,1,0,1,0,0,0
37,3155571,1,0,1,0,0,0
38,3155581,1,0,1,0,0,0
39,3155591,1,0,1,0,0,0
40,3155601,1,0,1,0,0,0
41,3155611,1,0,1,0,0,0
42,3155621,1,0,1,0,0,0
43,3155631,1,0,1,0,0,0
44,3155641,1,0,1,0,0,0
45,3155651,1,0,1,0,0,0
46,3155661,1,0,1,0,0,0
47,3155671,1,0,1,0,0,0
48,3155681,1,0,1,0,0,0
49,3155691,1,0,1,0,0,0
50,3155701,1,0,1,0,0,0
51,3155711,1,0,1,0,0,0
52,3155721,1,0,1,0,0,0
53,3155731,1,0,1,0,0,0
54,3155741,1,0,1,0,0,0
55,3155751,1,0,1,0,0,0
56,3155761,1,0,1,0,0,0
57,3155771,1,0,1,0,0,0
58,3155781,1,0,1,0,0,0
59,3155791,1,0,1,0,0,0
60,3155801,1,0,1,0,0,0
61,3155811,1,0,1,0,0,0
62,3155821,1,0,1,0,0,0
63,3155831,1,0,1,0,0,0
64,3155841,1,0,1,0,0,0
65,3155851,1,0,1,0,0,0
66,3155861,1,0,1,0,0,0
67,3155871,1,0,1,0,0,0
68,3155881,1,0,1,0,0,0
69,3155891,1,0,1,0,0,0
70,3155901,1,0,1,0,0,0
71,3155911,1,0,1,0,0,0
72,3155921,1,0,1,0,0,0
73,3155931,1,0,1,0,0,0
74,3155941,1,0,1,0,0,0
75,3155951,1,0,1,0,0,0
76,3155961,1,0,1,0,0,0
77,3155971,1,0,1,0,0,0
78,3155981,1,0,1,0,0,0
79,3155991,1,0,1,0,0,0
80,3156001,1,0,1,0,0,0
81,3156011,1,0,1,0,0,0
82,3156021,1,0,1,0,0,0
83,3156031,1,0,1,0,0,0
84,3156041,1,0,1,0,0,0
85,3156051,1,0,1,0,0,0
86,3156061,1,0,1,0,0,0
87,3156071,1,0,1,0,0,0
88,3156081,1,0,1,0,0,0
89,3156091,1,0,1,0,0,0
90,3156101,1,0,1,0,0,0
91,3156111,1,0,1,0,0,0
92,3156121,1,0,1,0,0,0
93,3156131,1,0,1,0,0,0
94,3156141,1,0,1,0,0,0
95,3156151,1,0,1,0,0,0
96,3156161,1,0,1,0,0,0
97,3156171,1,0,1,0,0,0
98,3156181,1,0,1,0,0,0
99,3156191,1,0,1,0,0,0
100,3156201,1,0,1,0,0,0
101,3156211,1,0,1,0,0,0
102,3156221,1,0,1,0,0,0
103,3156231,1,0,1,0,0,0
104,3156241,1,0,1,0,0,0
105,3156251,1,0,1,0,0,0
106,3156261,1,0,1,0,0,0
107,3156271,1,0,1,0,0,0
108,3156281,1,0,1,0,0,0
109,3156291,1,0,1,0,0,0
110,3156301,1,0,1,0,0,0
111,3156311,1,0,1,0,0,0
112,3156321,1,0,1,0,0,0
113,3156331,1,0,1,0,0,0
114,3156341,1,0,1,0,0,0
115,3156351,1,0,1,0,0,0
116,3156361,1,0,1,0,0,0
117,3156371,1,0,1,0,0,0
118,3156381,1,0,1,0,0,0
119,3156391,1,0,1,0,0,0
120,3156401,1,0,1,0,0,0
121,3156411,1,0,1,0,0,0
122,3156421,1,0,1,0,0,0
123,3156431,1,0,1,0,0,0
124,3156441,1,0,1,0,0,0
125,3156451,1,0,1,0,0,0
126,3156461,1,0,1,0,0,0
127,3156471,1,0,1,0,0,0
128,3156481,1,0,1,0,0,0
129,3156491,1,0,1,0,0,0
130,3156501,1,0,1,0,0,0
131,3156511,1,0,1,0,0,0
132,3156521,1,0,1,0,0,0
133,3156531,1,0,1,0,0,0
134,3156541,1,0,1,0,0,0
135,3156551,1,0,1,0,0,0
136,3156561,1,0,1,0,0,0
137,3156571,1,0,1,0,0,0
138,3156581,1,0,1,0,0,0
139,3156591,1,0,1,0,0,0
140,3156601,1,0,1,0,0,0
141,3156611,1,0,1,0,0,0
142,3156621,1,0,1,0,0,0
143,3156631,1,0,1,0,0,0
144,3156641,1,0,1,0,0,0
145,3156651,1,0,1,0,0,0
146,3156661,1,0,1,0,0,0
147,3156671,1,0,1,0,0,0
148,3156681,1,0,1,0,0,0
149,3156691,1,0,1,0,0,0
150,3156701,1,0,1,0,0,0
151,3156711,1,0,1,0,0,0
152,3156721,1,0,1,0,0,0
153,3156731,1,0,1,0,0,0
154,3156741,1,0,1,0,0,0
155,3156751,1,0,1,0,0,0
156,3156761,1,0,1,0,0,0
157,3156771,1,0,1,0,0,0
158,3156781,1,0,1,0,0,0
159,3156791,1,0,1,0,0,0
160,3156801,1,0,1,0,0,0
161,3156811,1,0,1,0,0,0
162,3156821,1,0,1,0,0,0
163,3156831,1,0,1,0,0,0
164,3156841,1,0,1,0,0,0
165,3156851,1,0,1,0,0,0
166,3156861,1,0,1,0,0,0
167,3156871,1,0,1,0,0,0
168,3156881,1,0,1,0,0,0
169,3156891,1,0,1,0,0,0
170,3156901,1,0,1,0,0,0
171,3156911,1,0,1,0,0,0
172,3156921,1,0,1,0,0,0
173,3156931,1,0,1,0,0,0
174,3156941,1,0,1,0,0,0
175,3156951,1,0,1,0,0,0
176,3156961,1,0,1,0,0,0
177,3156971,1,0,1,0,0,0
178,3156981,1,0,1,0,0,0
179,3156991,1,0,1,0,0,0
180,3157001,1,0,1,0,0,0
181,3157011,1,0,1,0,0,0
182,3157021,1,0,1,0,0,0
183,3157031,1,0,1,0,0,0
184,3157041,1,0,1,0,0,0
185,3157051,1,0,1,0,0,0
186,3157061,1,0,1,0,0,0
187,3157071,1,0,1,0,0,0
188,3157081,1,0,1,0,0,0
189,3157091,1,0,1,0,0,0
190,3157101,1,0,1,0,0,0
191,3157111,1,0,1,0,0,0
192,3157121,1,0,1,0,0,0
193,3157131,1,0,1,0,0,0
194,3157141,1,0,1,0,0,0
195,3157151,1,0,1,0,0,0
196,3157161,1,0,1,0,0,0
