T;Alt;Veloc;Filt_Alt;FVeloc;LDA;LowV;Apogee;N-O;Drogue;Main
0;106;212000;2120;42400;0;0;0;0;106;106
50;92;-28000;3536;28320;0;0;0;0;0;0
100;72;-40000;4269;14656;0;0;0;0;0;0
150;134;124000;6095;36525;0;0;0;0;0;0
200;120;-28000;7276;23620;0;0;0;0;0;0
250;146;52000;8741;29296;0;0;0;0;0;0
300;104;-84000;9073;6637;0;0;0;0;0;0
350;138;68000;10018;18909;0;0;0;0;0;0
400;188;100000;11775;35127;0;0;0;0;0;0
450;178;-20000;12980;24102;0;0;0;0;0;0
500;138;-80000;13144;3282;0;0;0;0;0;0
550;176;76000;14035;17825;0;0;0;0;0;0
600;206;60000;15348;26260;0;0;0;0;0;0
650;196;-20000;16198;17008;0;0;0;0;0;0
700;168;-56000;16319;2407;0;0;0;0;0;0
750;228;120000;17615;25925;0;0;0;0;0;0
800;240;24000;18892;25540;0;0;0;0;0;0
850;254;28000;20194;26032;254;0;0;0;0;0
900;200;-108000;20155;-774;0;0;0;0;0;0
950;284;168000;21804;32981;0;0;0;0;0;0
1000;300;32000;23443;32784;0;0;0;0;0;0
1050;300;0;24754;26228;0;0;0;0;0;0
1100;286;-28000;25524;15382;0;0;0;0;0;0
1150;352;132000;27459;38706;0;0;0;0;0;0
1200;386;68000;29687;44565;0;0;0;0;0;0
1250;358;-56000;30910;24452;0;0;0;0;0;0
1300;350;-16000;31728;16361;0;0;0;0;0;0
1350;332;-36000;32022;5889;0;0;0;0;0;0
1400;438;212000;34378;47111;0;0;0;0;0;0
1450;430;-16000;36102;34489;0;0;0;0;0;0
1500;408;-44000;37042;18791;0;0;0;0;0;0
1550;516;216000;39953;58233;0;0;0;0;0;0
1600;514;-4000;42243;45786;0;0;0;0;0;0
1650;520;12000;44194;39029;0;0;0;0;0;0
1700;562;84000;46595;48023;0;0;0;0;0;0
1750;560;-4000;48476;37619;0;0;0;0;0;0
1800;608;96000;50941;49295;0;0;0;0;0;0
1850;608;0;52913;39436;0;0;0;0;0;0
1900;642;68000;55170;45149;0;0;0;0;0;0
1950;650;16000;57136;39319;0;0;0;0;0;0
2000;668;36000;59069;38655;0;0;0;0;0;0
2050;708;80000;61415;46924;0;0;0;0;0;0
2100;732;48000;63772;47139;0;0;0;0;0;0
2150;786;108000;66738;59312;0;0;0;0;0;0
2200;780;-12000;68990;45049;0;0;0;0;0;0
2250;840;120000;71992;60039;0;0;0;0;0;0
2300;880;80000;75194;64031;0;0;0;0;0;0
2350;890;20000;77955;55225;0;0;0;0;0;0
2400;972;164000;81804;76980;0;0;0;0;0;0
2450;1072;200000;86883;101584;0;0;0;0;0;0
2500;1114;84000;91787;98067;0;0;0;0;0;0
2550;1212;196000;97669;117654;0;0;0;0;0;0
2600;1244;64000;103015;106923;0;0;0;0;0;0
2650;1298;108000;108372;107138;0;0;0;0;0;0
2700;1296;-4000;112618;84911;0;0;0;0;0;0
2750;1366;140000;117414;95929;0;0;0;0;0;0
2800;1386;40000;121651;84743;0;0;0;0;0;0
2850;1442;112000;126161;90194;0;0;0;0;0;0
2900;1492;100000;130769;92156;0;0;0;0;0;0
2950;1544;104000;135495;94524;0;0;0;0;0;0
3000;1750;412000;143396;158020;0;0;0;0;0;0
3050;1792;84000;150557;143216;0;0;0;0;0;0
3100;1820;56000;156846;125772;0;0;0;0;0;0
3150;1850;60000;162476;112618;0;0;0;0;0;0
3200;1860;20000;167181;94094;0;0;0;0;0;0
3250;1880;40000;171345;83275;0;0;0;0;0;0
3300;1922;84000;175516;83420;0;0;0;0;0;0
3350;1944;44000;179293;75536;0;0;0;0;0;0
3400;2012;136000;183674;87629;0;0;0;0;0;0
3450;2032;40000;187579;78103;0;0;0;0;0;0
3500;2002;-60000;190103;50483;0;0;0;0;0;0
3550;2082;160000;193723;72386;0;0;0;0;0;0
3600;2182;200000;198618;97909;0;0;0;0;0;0
3650;2184;4000;202575;79127;0;0;0;0;0;0
3700;2194;20000;205940;67302;0;0;0;0;0;0
3750;2288;188000;210512;91441;0;0;0;0;0;0
3800;2306;36000;214529;80353;0;0;0;0;0;0
3850;2342;72000;218464;78683;0;0;0;0;0;0
3900;2394;104000;222651;83746;0;0;0;0;0;0
3950;2400;12000;226121;69396;0;0;0;0;0;0
4000;2480;160000;230497;87518;0;0;0;0;0;0
4050;2544;128000;235277;95614;0;0;0;0;0;0
4100;2562;36000;239462;83691;0;0;0;0;0;0
4150;2630;136000;244169;94153;0;0;0;0;0;0
4200;2664;68000;248616;88922;0;0;0;0;0;0
4250;2684;40000;252572;79138;0;0;0;0;0;0
4300;2682;-4000;255698;62510;0;0;0;0;0;0
4350;2848;332000;261518;116408;0;0;0;0;0;0
4400;2894;92000;267095;111527;0;0;0;0;0;0
