Time;Altitude;Pressure;Velocity;Temperature;Events;Voltages;
0;2,04E-06;997,8;0;36,1;-;8,90704;
0,05;2,527697;997,5;2,409371;36,1;-;8,90704;
0,1;5,899257;997,1;5,617028;36,1;-;8,90704;
0,15;8,428389;996,8;8,0264;36,1;-;8,90704;
0,2;10,95814;996,5;10,43577;36,1;-;8,90704;
0,25;12,64515;996,3;12,04686;36,1;-;8,90704;
0,3;16,01948;995,9;15,25451;36,1;-;8,90704;
0,35;17,70732;995,7;16,8656;36,1;-;8,90704;
0,4;20,23933;995,4;19,27497;36,1;-;8,90704;
0,45;22,77247;995,1;21,68434;36,1;-;8,90704;
0,5;26,1501;994,7;24,90651;36,1;-;8,90704;
0,55;30,37407;994,2;28,92697;36,1;-;8,90704;
0,6;33,75469;993,8;32,14914;36,1;-;8,90704;
0,65;37,98176;993,3;36,1696;36,1;-;8,90704;
0,7;43,0563;992,7;41,00285;36,1;-;8,90704;
0,75;45,59451;992,4;43,42674;36,1;-;8,90704;
0,8;48,13385;992,1;45,85063;36,1;-;8,90704;
0,85;49,82641;991,9;47,46171;36,1;-;8,90704;
0,9;56,60145;991,1;53,92057;36,1;-;8,90704;
0,95;61,68512;990,5;58,76834;36,1;-;8,90704;
1;65,07597;990,1;61,99051;36,1;-;8,90704;
1,05;65,92359;990;62,80331;36,1;-;8,90704;
1,1;69,31583;989,6;63,63063;36,1;-;8,90704;
1,15;75,25413;988,9;66,08354;36,1;-;8,90704;
1,2;82,04581;988,1;70,14754;36,1;-;8,90704;
1,25;82,04581;988,1;67,73817;36,1;-;8,90704;
1,3;84,59357;987,8;68,55096;36,1;-;8,90704;
1,35;93,09102;986,8;73,44228;36,1;-;8,90704;
1,4;101,5954;985,8;79,93017;36,1;-;8,90704;
1,45;108,4039;985;84,00868;36,1;-;8,90704;
1,5;117,7728;983,9;90,5256;36,1;-;8,90704;
1,55;124,5924;983,1;93,79131;36,1;-;8,90704;
1,6;127,1507;982,8;92,20925;36,1;-;8,90704;
1,65;131,416;982,3;93,05108;36,1;-;8,90704;
1,7;145,9315;980,6;102,8482;36,1;-;8,90704;
1,75;159,6114;979;111,0488;36,1;-;8,90704;
1,8;178,4512;976,8;126,5646;36,1;-;8,90704;
1,85;197,3255;974,6;142,1094;36,1;-;8,90704;
1,9;217,9545;972,2;160,1506;36,1;-;8,90704;
1,95;232,592;970,5;167,6255;36,1;-;8,90704;
10;2003,91;781,8;106,8977;36,2;-;8,926488;
10,05;2024,462;779,8;119,7138;36,2;-;8,926488;
10,1;2046,086;777,7;132,5735;36,2;-;8,926488;
10,15;2061,561;776,2;137,6245;36,2;-;8,926488;
10,2;2072,925;775,1;144,5768;36,2;-;8,926488;
10,25;2080,163;774,4;157,2913;36,2;-;8,926488;
10,3;2084,302;774;171,8927;36,2;-;8,926488;
10,35;2088,443;773,6;181,6463;36,2;-;8,926488;
10,4;2098,801;772,6;191,516;36,2;-;8,926488;
10,45;2108,133;771,7;197,4959;36,2;-;8,926488;
10,5;2112,283;771,3;194,6656;36,2;-;8,926488;
10,55;2114,359;771,1;186,9585;36,2;-;8,926488;
10,6;2111,245;771,4;175,2745;36,2;-;8,926488;
10,65;2107,095;771,8;163,5615;36,2;-;8,926488;
10,7;2106,058;771,9;154,8094;36,2;-;8,926488;
10,75;2108,133;771,7;149,0036;36,2;-;8,926488;
10,8;2112,283;771,3;147,1168;36,2;-;8,926488;
10,85;2117,473;770,8;145,259;36,2;-;8,926488;
10,9;2124,745;770,1;146,333;36,2;-;8,926488;
10,95;2130,981;769,5;144,4752;36,2;-;8,926488;
100;843,1771;901,7;-27,01109;35,8;-;8,965384;
100,05;842,2628;901,8;-27,01109;35,8;-;8,965384;
100,1;841,3481;901,9;-28,7528;35,8;-;8,965384;
100,15;839,5201;902,1;-30,49451;35,8;-;8,965384;
100,2;838,6056;902,2;-31,36537;35,8;-;8,965384;
100,25;838,6056;902,2;-30,49451;35,8;-;8,965384;
100,3;839,5201;902,1;-27,88194;35,8;-;8,965384;
100,35;839,5201;902,1;-25,26937;35,8;-;8,965384;
100,4;839,5201;902,1;-21,77143;35,8;-;8,965384;
100,45;838,6056;902,2;-20,02971;35,8;-;8,965384;
100,5;836,7775;902,4;-19,15886;35,8;-;8,965384;
100,55;834,0362;902,7;-20,02971;35,8;-;8,965384;
100,6;830,3826;903,1;-21,77143;35,8;-;8,965384;
100,65;828,5559;903,3;-21,77143;35,8;-;8,965384;
100,7;827,6424;903,4;-21,77143;35,8;-;8,965384;
100,75;826,7296;903,5;-22,64228;35,8;-;8,965384;
100,8;826,7296;903,5;-20,90057;35,8;-;8,965384;
100,85;825,8168;903,6;-20,90057;35,8;-;8,965384;
100,9;823,991;903,8;-21,77143;35,8;-;8,965384;
100,95;822,1655;904;-22,64228;35,8;-;8,965384;
101;821,2531;904,1;-22,64228;35,8;-;8,965384;
101,05;822,1655;904;-20,02971;35,8;-;8,965384;
101,1;821,2531;904,1;-20,02971;35,8;-;8,965384;
101,15;820,3404;904,2;-20,02971;35,8;-;8,965384;
