time,mag_x,mag_y,mag_z
-4.992412,-6.8936429,18.2670593,-29.0919819
-4.982221,-6.8960762,18.6056404,-28.7541714
-4.972221,-7.02495098,18.9437714,-30.4453468
-4.962021,-6.8936429,18.2670593,-29.7685394
-4.952021,-7.02619123,18.943924,-30.1073093
-4.941825,-7.02867222,19.2825222,-29.4312172
-4.931825,-7.15251827,18.6051865,-30.106575
-4.921625,-7.15377998,18.9436169,-30.445097
-4.911625,-7.4165349,19.2822094,-30.1073093
-4.901431,-7.15504265,19.6203346,-29.7687836
-4.891431,-7.15251827,18.9434624,-29.7682991
-4.881235,-7.41522598,18.9437714,-29.4305019
-4.871235,-7.41391754,18.9436169,-29.7685394
-4.861035,-7.28384876,18.2670593,-30.445097
-4.851035,-7.02495098,18.2672081,-29.4305019
-4.840838,-7.02619123,18.943924,-30.1073093
-4.830838,-7.28256369,18.9434624,-29.7682991
-4.820639,-7.15377998,19.2818947,-29.7685394
-4.810639,-7.28384876,18.6053371,-29.4302616
-4.800442,-7.02867222,18.2676525,-29.7695084
-4.790442,-7.02495098,18.6054897,-29.4305019
-4.780255,-7.02619123,18.2673569,-30.1073093
-4.770255,-6.8936429,18.9436169,-30.445097
-4.760055,-7.41522598,19.6203346,-30.4453468
-4.750055,-6.50343657,18.9436169,-29.7685394
-4.739855,-7.15504265,17.9289265,-29.4305019
-4.729855,-7.28513432,18.2672081,-30.1070652
-4.719665,-7.15504265,18.2672081,-29.4305019
-4.709665,-7.15377998,18.2670593,-30.1068192
-4.699465,-7.15504265,19.6203346,-29.7687836
-4.689465,-6.8936429,19.2818947,-30.445097
-4.679265,-6.76476765,19.282053,-29.0922203
-4.669265,-7.15251827,18.2669106,-29.4300232
-4.659072,-7.4165349,18.943924,-30.7838783
-4.649072,-7.41522598,18.6054897,-29.7687836
-4.638869,-7.15377998,19.2818947,-30.7833767
-4.628869,-7.15504265,18.2672081,-30.1070652
-4.618675,-7.41391754,18.6053371,-30.445097
-4.608675,-6.8960762,18.2673569,-29.4307404
