time,pressure
-4.993551,99700.2422
-4.969551,99691.8281
-4.945356,99686.875
-4.921551,99677.5312
-4.897548,99686.1562
-4.873548,99686.5938
-4.849548,99691.1406
-4.823539,99686.8359
-4.801548,99695.6953
-4.777551,99682.5234
-4.753551,99695.4766
-4.729551,99696.125
-4.703527,99687.0859
-4.681548,99682.0938
-4.657548,99686.3906
-4.633548,99695.6719
-4.609548,99696.1328
-4.583527,99691.6172
-4.561548,99686.8672
-4.537548,99695.6953
-4.513539,99687.0703
-4.489539,99700.25
-4.465347,99696.3672
-4.441548,99682.5547
-4.417548,99695.4844
-4.393548,99691.5859
-4.369548,99700.4766
-4.343576,99682.7578
-4.321545,99695.4922
-4.297548,99700.6719
-4.273548,99696.3828
-4.249545,99687.1016
-4.223576,99691.1719
-4.201545,99695.9141
-4.177545,99687.0781
-4.153545,99700.25
-4.129545,99687.2969
-4.103521,99686.6484
-4.081545,99691.1484
-4.057545,99686.8438
-4.033545,99695.6953
-4.009545,99682.5234
-3.983521,99686.4062
-3.961545,99691.1328
-3.937542,99695.9062
-3.913545,99687.0781
-3.889545,99686.6328
-3.863521,99682.0703
-3.841542,99681.8359
-3.817545,99681.8281
-3.793545,99690.9062
-3.769545,99686.8281
-3.745359,99691.1562
-3.721542,99686.8438
-3.697542,99695.6953
-3.673542,99691.6016
-3.649542,99695.9297
-3.623518,99696.1484
-3.601542,99691.625
-3.577542,99695.9375
-3.553542,99691.6094
-3.529542,99695.9297
-3.503597,99691.6094
-3.481542,99686.8594
-3.457542,99695.6953
-3.433542,99687.0703
-3.409542,99695.7031
-3.3836,99682.5234
-3.361539,99690.9375
-3.337542,99691.3594
-3.313542,99695.9219
-3.289542,99696.1484
-3.26535,99691.625
-3.241539,99695.9375
-3.217539,99691.6094
-3.193539,99691.3906
-3.169539,99686.8516
-3.14357,99686.625
-3.121539,99686.6172
-3.097539,99686.6172
-3.073542,99695.6875
-3.049539,99696.1406
-3.023411,99687.0859
-3.001536,99695.7109
-2.977539,99691.6016
-2.953539,99695.9297
-2.929539,99687.0781
-2.903512,99682.0859
-2.881536,99690.9219
-2.857539,99686.8281
-2.833539,99695.6953
-2.809539,99696.1406
-2.785344,99682.5391
-2.761536,99686.4062
-2.737536,99686.6016
-2.713536,99695.6797
-2.689539,99687.0703
-2.665356,99686.6328
-2.641536,99686.6172
-2.617536,99691.1484
-2.593536,99691.375
-2.569536,99686.8516
-2.545341,99686.625
-2.521536,99686.6172
-2.497536,99686.6172
-2.473536,99695.6875
-2.449536,99696.1406
-2.423564,99691.6172
-2.401533,99695.9375
-2.377536,99700.6953
-2.353536,99687.3203
-2.329536,99700.2656
-2.303597,99687.2969
-2.281533,99686.6484
-2.257533,99686.6172
-2.233526,99686.6172
-2.209536,99691.1484
-2.185341,99695.9141
-2.161533,99691.6094
-2.137533,99691.3906
-2.113533,99700.4688
-2.089533,99687.3047
-2.063488,99682.1016
-2.04153,99686.3906
-2.01753,99695.6719
-1.993533,99696.1328
-1.969533,99691.6172
-1.943539,99682.3203
-1.921533,99686.3984
-1.89753,99686.6016
-1.873523,99691.1406
-1.849533,99691.3672
-1.823506,99691.3828
-1.80153,99682.3047
-1.77753,99690.9297
-1.753533,99691.3594
-1.729533,99695.9219
-1.703506,99700.6953
-1.68153,99687.3203
-1.65753,99686.6484
-1.63353,99695.6875
-1.60953,99700.6875
-1.583515,99691.8516
-1.56153,99686.875
-1.537526,99686.625
-1.51353,99695.6875
-1.48953,99691.6016
-1.463506,99686.8594
-1.44153,99695.6953
-1.41753,99687.0703
-1.39353,99700.25
-1.36953,99691.8281
-1.343558,99691.4062
-1.321526,99700.4688
-1.29753,99696.375
-1.27353,99691.6328
-1.24953,99682.3203
-1.223585,99690.9297
-1.201526,99682.2812
-1.177526,99695.4688
-1.153517,99696.125
-1.129526,99687.0859
-1.103558,99686.6406
-1.081523,99686.6172
-1.057526,99700.2344
-1.033526,99696.3672
-1.009526,99682.5547
-0.983503,99695.4844
-0.961526,99687.0547
-0.937526,99691.1641
-0.913526,99691.375
-0.889526,99686.8516
-0.865325,99691.1562
-0.841523,99686.8438
-0.817526,99691.1562
-0.793517,99691.375
-0.769517,99695.9219
-0.743521,99691.6094
-0.721523,99695.9297
-0.697523,99696.1484
-0.673523,99696.1641
-0.649523,99687.0938
-0.6235,99695.7109
-0.601523,99691.6016
-0.577517,99695.9297
-0.553523,99691.6094
-0.529523,99695.9297
-0.505341,99696.1484
-0.481523,99691.625
-0.457523,99686.8672
-0.433523,99695.6953
-0.409523,99687.0703
-0.385328,99686.6328
-0.361523,99700.2344
-0.337523,99687.2969
-0.313523,99704.7891
-0.289523,99701.1406
-0.265331,99682.7891
-0.24152,99700.0391
-0.21752,99696.3516
-0.19352,99691.6328
-0.16952,99754.9609
-0.14357,99712.7266
-0.12152,99674.2812
-0.09752,99772.2422
-0.073523,99718.125
-0.04952,99778.9766
-0.023552,99759.3281
-0.00152,99735.6406
0.02248,99666.3516
0.04648,99976.1484
0.07048,99478.6172
0.096927,99753.3828
0.11848,99617.3047
0.14248,99628.6641
0.16648,99774.5078
0.19048,99650.1328
0.216473,99657.5312
0.238483,99685.1562
0.262483,99686.5391
0.28648,99745.6172
0.310483,99630.5391
0.336503,99615.7031
0.358489,99701.2109
0.38248,99641.9375
0.40648,99620.8203
0.430483,99556.1875
0.45643,99602.9062
0.478483,99600.6953
0.502483,99577.8984
0.526483,99599.4453
0.550483,99500.6406
0.576918,99545.6406
0.598483,99525.1953
0.622483,99492.3906
0.646483,99463.5078
0.670483,99489.3125
0.69515,99431.5781
0.718486,99401.4609
0.742486,99381.7891
0.766483,99353.5703
0.790486,99343.0781
0.816412,99351.6328
0.838486,99329.3594
0.862486,99264.6875
0.886483,99243.2812
0.910486,99242.2109
0.935217,99224
0.958486,99182.2344
0.982486,99171.0625
1.006495,99134.1797
1.030492,99123.2578
1.0548,99122.7109
1.078486,99040.9766
1.102486,99100.4375
1.126486,99067.0938
1.150486,99029.1094
1.176628,98999.9688
1.198489,99016.6719
1.222486,98935.7969
1.246486,98954.4297
1.270486,98909.9766
1.296921,98844.1953
1.318489,98872.6875
