T,Alt,Veloc,Filt_Alt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
0,4,80.00,0.80,16.00,0,0,0,0,0,0
50,36,640.00,7.84,140.80,0,0,0,0,0,0
100,8,-560.00,7.87,0.64,0,0,0,0,0,0
150,60,1040.00,18.30,208.51,0,0,0,0,0,0
200,36,-480.00,21.84,70.81,0,0,0,0,0,0
250,62,520.00,29.87,160.65,0,0,0,0,0,0
300,116,1080.00,47.10,344.52,0,0,0,0,0,0
350,112,-80.00,60.08,259.61,0,0,0,0,0,0
400,74,-760.00,62.86,55.69,0,0,0,0,0,0
450,118,880.00,73.89,220.55,0,0,0,0,0,0
500,132,280.00,85.51,232.44,0,0,0,0,0,0
550,104,-560.00,89.21,73.95,0,0,0,0,0,0
600,144,800.00,100.17,219.16,0,0,0,0,0,0
650,128,-320.00,105.73,111.33,0,0,0,0,0,0
700,214,1720.00,127.39,433.06,0,0,0,0,0,0
750,216,40.00,145.11,354.45,0,0,0,0,0,0
800,168,-960.00,149.69,91.56,0,0,0,0,0,0
850,212,880.00,162.15,249.25,0,0,0,0,0,0
900,180,-640.00,165.72,71.40,0,0,0,0,0,0
950,274,1880.00,187.38,433.12,0,0,0,0,0,0
1000,284,200.00,206.70,386.50,284,0,0,0,0,0
1050,292,160.00,223.76,341.20,0,0,0,0,0,0
1100,266,-520.00,232.21,168.96,0,0,0,0,0,0
1150,332,1320.00,252.17,399.17,0,0,0,0,0,0
1200,338,120.00,269.33,343.33,0,0,0,0,0,0
1250,376,760.00,290.67,426.67,0,0,0,0,0,0
1300,414,760.00,315.33,493.33,0,0,0,0,0,0
1350,400,-280.00,332.27,338.67,0,0,0,0,0,0
1400,434,680.00,352.61,406.93,0,0,0,0,0,0
1450,482,960.00,378.49,517.55,0,0,0,0,0,0
1500,504,440.00,403.59,502.04,0,0,0,0,0,0
1550,552,960.00,433.27,593.63,0,0,0,0,0,0
1600,534,-360.00,453.42,402.90,0,0,0,0,0,0
1650,580,920.00,478.74,506.32,0,0,0,0,0,0
1700,614,680.00,505.79,541.06,0,0,0,0,0,0
1750,586,-560.00,521.83,320.85,0,0,0,0,0,0
1800,644,1160.00,546.26,488.68,0,0,0,0,0,0
1850,636,-160.00,564.21,358.94,0,0,0,0,0,0
1900,662,520.00,583.77,391.15,0,0,0,0,0,0
1950,766,2080.00,620.22,728.92,0,0,0,0,0,0
2000,796,600.00,655.37,703.14,0,0,0,0,0,0
2050,808,240.00,685.90,610.51,0,0,0,0,0,0
2100,852,880.00,719.12,664.41,0,0,0,0,0,0
2150,912,1200.00,757.69,771.53,0,0,0,0,0,0
2200,966,1080.00,799.36,833.22,0,0,0,0,0,0
2250,936,-600.00,826.68,546.58,0,0,0,0,0,0
2300,994,1160.00,860.15,669.26,0,0,0,0,0,0
2350,1014,400.00,890.92,615.41,0,0,0,0,0,0
2400,1112,1960.00,935.13,884.33,0,0,0,0,0,0
2450,1172,1200.00,982.51,947.46,0,0,0,0,0,0
2500,1210,760.00,1028.01,909.97,0,0,0,0,0,0
2550,1220,200.00,1066.40,767.98,0,0,0,0,0,0
2600,1160,-1200.00,1085.12,374.38,0,0,0,0,0,0
2650,1202,840.00,1108.50,467.50,0,0,0,0,0,0
2700,1278,1520.00,1142.40,678.00,0,0,0,0,0,0
2750,1338,1200.00,1181.52,782.40,0,0,0,0,0,0
2800,1390,1040.00,1223.22,833.92,0,0,0,0,0,0
2850,1446,1120.00,1267.77,891.14,0,0,0,0,0,0
2900,1554,2160.00,1325.02,1144.91,0,0,0,0,0,0
2950,1578,480.00,1375.61,1011.93,0,0,0,0,0,0
3000,1648,1400.00,1430.09,1089.54,0,0,0,0,0,0
3050,1704,1120.00,1484.87,1095.63,0,0,0,0,0,0
3100,1764,1200.00,1540.70,1116.51,0,0,0,0,0,0
3150,1836,1440.00,1599.76,1181.21,0,0,0,0,0,0
3200,1872,720.00,1654.21,1088.96,0,0,0,0,0,0
3250,1946,1480.00,1712.57,1167.17,0,0,0,0,0,0
3300,2004,1160.00,1770.85,1165.74,0,0,0,0,0,0
3350,2050,920.00,1826.68,1116.59,0,0,0,0,0,0
